timestamp,open,high,low,close,volume
1693440000000,36870.8,37180.7,34798.3,35082.8,33.08626721
1693526400000,35090.3,35312.9,34402.4,34923.9,29.9514656
1693612800000,34920.9,35165.2,34845.3,35021.4,15.12557498
1693699200000,35025.0,35360.6,34946.6,35258.2,14.26673589
1693785600000,35248.4,35329.1,34845.2,35046.6,16.03069686
1693872000000,35049.8,35176.2,34780.9,35087.0,34.87219193
1693958400000,35086.0,35384.1,34667.4,35092.5,29.68846059
1694044800000,35048.5,36055.7,34936.7,35778.5,42.6245482
1694131200000,35778.4,35995.5,35008.1,35258.4,26.26266825
1694217600000,35256.6,35256.7,35120.2,35202.7,18.63288669
1694304000000,35200.1,35403.0,34898.0,35138.3,16.82364091
1694390400000,35126.8,35173.9,33843.8,34078.6,47.45721954
1694476800000,34078.6,35833.8,34065.8,34918.3,49.4250139
1694563200000,34928.7,35647.8,34845.3,35494.6,24.64205777
1694649600000,35493.5,36262.7,35418.7,35877.2,30.65635168
1694736000000,35874.4,36300.0,35472.0,36007.2,23.25504609
1694822400000,36002.7,36206.2,35773.8,35955.3,11.41578648
1694908800000,35946.3,35958.8,35768.3,35889.2,7.6907251
1694995200000,35880.3,37065.9,35747.0,36080.2,40.47250302
1695081600000,36073.1,36905.9,35971.0,36580.0,27.5857904
1695168000000,36575.4,36804.1,36000.0,36486.9,46.12146752
1695254400000,36463.8,36500.0,35658.1,35793.7,25.18136425
1695340800000,35793.5,35940.0,35655.1,35714.2,23.69079213
1695427200000,35777.6,35893.0,35665.8,35838.9,9.37113265
1695513600000,35835.8,35980.0,35250.0,35327.1,25.37375191
1695600000000,35310.9,35526.7,34992.0,35307.1,24.22146504
1695686400000,35322.6,35500.0,35185.8,35456.3,30.29379154
1695772800000,35474.9,36231.5,35344.0,35543.0,25.537162
1695859200000,35551.0,36685.4,35472.7,36424.5,38.91683414
1695945600000,36448.3,36554.3,35983.5,36498.5,41.82432818
1696032000000,36489.8,36700.0,36431.9,36626.8,18.57964116
1696118400000,36626.5,38000.0,36626.5,37944.8,16.2503591
